gdml_detector_name,cpp_detector_name
"PV-LV_Absorber_v020__Meshed_","PV-LV_Absorber120__Meshed_"
"PV-LV_Absorber_v019__Meshed_","PV-LV_Absorber119__Meshed_"
"PV-LV_Absorber_v018__Meshed_","PV-LV_Absorber118__Meshed_"
"PV-LV_Absorber_v017__Meshed_","PV-LV_Absorber117__Meshed_"
"PV-LV_Absorber_v016__Meshed_","PV-LV_Absorber116__Meshed_"
"PV-LV_Absorber_v015__Meshed_","PV-LV_Absorber115__Meshed_"
"PV-LV_Absorber_v014__Meshed_","PV-LV_Absorber114__Meshed_"
"PV-LV_Absorber_v013__Meshed_","PV-LV_Absorber113__Meshed_"
"PV-LV_Absorber_v012__Meshed_","PV-LV_Absorber112__Meshed_"
"PV-LV_Absorber_v011__Meshed_","PV-LV_Absorber111__Meshed_"
"PV-LV_Absorber_v010__Meshed_","PV-LV_Absorber110__Meshed_"
"PV-LV_Absorber_v009__Meshed_","PV-LV_Absorber109__Meshed_"
"PV-LV_Absorber_v008__Meshed_","PV-LV_Absorber108__Meshed_"
"PV-LV_Absorber_v007__Meshed_","PV-LV_Absorber107__Meshed_"
"PV-LV_Absorber_v006__Meshed_","PV-LV_Absorber106__Meshed_"
"PV-LV_Absorber_v005__Meshed_","PV-LV_Absorber105__Meshed_"
"PV-LV_Absorber_v004__Meshed_","PV-LV_Absorber104__Meshed_"
"PV-LV_Absorber_v003__Meshed_","PV-LV_Absorber103__Meshed_"
"PV-LV_Absorber_v002__Meshed_","PV-LV_Absorber102__Meshed_"
"PV-LV_Absorber_v1__Meshed_","PV-LV_Absorber101__Meshed_"








