,Scint_ID,X_Detected,Y_Detected,Z_Detected
0,1,-1.9141521342098713,-18.083992958068848,-32.88397550582886
1,2,-14.964152336120605,-5.033992171287537,-32.88397550582886
2,3,-14.964152336120605,-9.383992195129395,-32.88397550582886
3,4,-14.964152336120605,-13.733992099761963,-32.88397550582886
4,5,-14.964152336120605,-18.083992958068848,-32.88397550582886
5,6,-10.614151954650879,-5.033992171287537,-32.88397550582886
6,7,-10.614151954650879,-9.383992195129395,-32.88397550582886
7,8,-10.614151954650879,-13.733992099761963,-32.88397550582886
8,9,-10.614151954650879,-18.083992958068848,-32.88397550582886
9,10,-6.26415228843689,-5.033992171287537,-32.88397550582886
10,11,-6.26415228843689,-9.383992195129395,-32.88397550582886
11,12,-6.26415228843689,-13.733992099761963,-32.88397550582886
12,13,-6.26415228843689,-18.083992958068848,-32.88397550582886
13,14,-1.9141521342098713,-5.033992171287537,-32.88397550582886
14,15,-1.9141521342098713,-9.383992195129395,-32.88397550582886
15,16,-1.9141521342098713,-13.733992099761963,-32.88397550582886
16,17,-28.61415195465088,-18.083992958068848,-32.88397550582886
17,18,-41.66415214538574,-5.033992171287537,-32.88397550582886
18,19,-37.314151763916016,-5.033992171287537,-32.88397550582886
19,20,-32.96415138244629,-5.033992171287537,-32.88397550582886
20,21,-28.61415195465088,-5.033992171287537,-32.88397550582886
21,22,-41.66415214538574,-9.383992195129395,-32.88397550582886
22,23,-37.314151763916016,-9.383992195129395,-32.88397550582886
23,24,-32.96415138244629,-9.383992195129395,-32.88397550582886
24,25,-28.61415195465088,-9.383992195129395,-32.88397550582886
25,26,-41.66415214538574,-13.733992099761963,-32.88397550582886
26,27,-37.314151763916016,-13.733992099761963,-32.88397550582886
27,28,-32.96415138244629,-13.733992099761963,-32.88397550582886
28,29,-28.61415195465088,-13.733992099761963,-32.88397550582886
29,30,-41.66415214538574,-18.083992958068848,-32.88397550582886
30,31,-37.314151763916016,-18.083992958068848,-32.88397550582886
31,32,-32.96415138244629,-18.083992958068848,-32.88397550582886
32,33,-1.8641520384699106,8.616007566452026,-32.88397550582886
33,34,-14.9141526222229,21.666007041931152,-32.88397550582886
34,35,-10.564152240753174,21.666007041931152,-32.88397550582886
35,36,-6.214152097702026,21.666007041931152,-32.88397550582886
36,37,-1.8641520384699106,21.666007041931152,-32.88397550582886
37,38,-14.9141526222229,17.3160080909729,-32.88397550582886
38,39,-10.564152240753174,17.3160080909729,-32.88397550582886
39,40,-6.214152097702026,17.3160080909729,-32.88397550582886
40,41,-1.8641520384699106,17.3160080909729,-32.88397550582886
41,42,-14.9141526222229,12.966007709503174,-32.88397550582886
42,43,-10.564152240753174,12.966007709503174,-32.88397550582886
43,44,-6.214152097702026,12.966007709503174,-32.88397550582886
44,45,-1.8641520384699106,12.966007709503174,-32.88397550582886
45,46,-14.9141526222229,8.616007566452026,-32.88397550582886
46,47,-10.564152240753174,8.616007566452026,-32.88397550582886
47,48,-6.214152097702026,8.616007566452026,-32.88397550582886
48,49,-41.71415138244629,8.616007566452026,-32.88397550582886
49,50,-28.664152145385742,21.666007041931152,-32.88397550582886
